wnid,noun
n00090779,giving
n00091013,abandonment
n00091234,discard
n00091234,throwing away
n00091404,staging
n00091503,discard
n00091670,mine disposal
n00091779,minesweeping
n00091893,sewage disposal
n00091977,bait and switch
n00092212,private treaty
n00092366,auction
n00092366,auction sale
n00092366,vendue
n00092663,bootlegging
n00092847,bootlegging
n00093006,capitalization
n00093006,capitalisation
n00093127,overcapitalization
n00093127,overcapitalisation
n00093354,reclamation
n00093483,rescue
n00093483,deliverance
n00093483,delivery
n00093483,saving
n00093874,lifesaving
n00094001,redemption
n00094001,salvation
n00094240,absolution
n00094240,remission
n00094240,remittal
n00094240,remission of sin
n00094500,indulgence
n00094788,conversion
n00094788,rebirth
n00094788,spiritual rebirth
n00094954,proselytism
n00095121,expiation
n00095121,atonement
n00095121,propitiation
n00095329,reparation
n00095329,amends
n00095502,liberation
n00095502,release
n00095502,freeing
n00095873,jail delivery
n00095971,reclamation
n00095971,reformation
n00096211,salvage
n00096343,salvage
n00096513,salvation
n00096720,search and rescue mission
n00096851,ransom
n00096969,recapture
n00096969,retaking
n00097122,recapture
n00097244,invocation
n00097348,instrumentation
n00097504,performance
n00097504,execution
n00097504,carrying out
n00097504,carrying into action
n00097923,specific performance
n00098051,linguistic performance
n00098385,mechanism
n00098385,mechanics
n00098625,service
n00098822,curb service
n00098939,self-service
n00099061,valet parking
n00099267,dramatic production
n00099267,dramatic performance
n00099439,encore
n00099588,extemporization
n00099588,extemporisation
n00099588,improvisation
n00099799,juggle
n00099799,juggling
n00099951,magic trick
n00099951,conjuring trick
n00099951,trick
n00099951,magic
n00099951,legerdemain
n00099951,conjuration
n00099951,thaumaturgy
n00099951,illusion
n00099951,deception
n00100253,musical performance
n00100437,one-night stand
n00100543,rendition
n00100543,rendering
n00100543,interpretation
n00100889,reinterpretation
n00101003,spin
n00101191,playing
n00101410,bowing
n00101570,spiccato
n00101570,spiccato bowing
n00101708,piping
n00101809,stopping
n00102039,double stopping
n00102162,transposition
n00102374,jam session
n00102457,automation
n00102457,mechanization
n00102457,mechanisation
n00102779,computerization
n00102779,cybernation
n00102927,motorization
n00102927,motorisation
n00103140,launching
n00103140,launch
n00103291,launching
n00103419,rocket firing
n00103419,rocket launching
n00103590,blastoff
n00103590,shot
n00103737,moon shot
n00103834,drive
n00103834,thrust
n00103834,driving force
n00104088,firewall
n00104249,impulse
